"Keyword","Category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"megaduo gel","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"sữa kendamil","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"ipad air 5","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"glucosamine nhật","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kem chống nắng skin1004","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"phuộc rcb bình dầu","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"galaxy play","Voucher & Dịch vụ","Mobile & Accessories","Mobile & Accessories",
"mbot","Mẹ & Bé","Toys","Toys",
"bamogin","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"lăn khử mùi scion","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"tenga","Sức Khỏe & Sắc Đẹp","Books","Books",
"má phanh trước xe i10","Ô Tô","Automotive",,
"kệ để đồ nhà tắm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"mezy","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"thiên môn bổ phổi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"trạm sạc dự phòng","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"mì cay samyang","Bách Hoá Online","Grocery","Grocery","Grocery"
"màu tóc xanh đen","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"màu tóc xanh đen","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"thùng carton giá rẻ","Nhà Sách Online","Home & Living","Home & Living",
"vách ngăn điều hòa","Thiết Bị Điện Gia Dụng","Home & Living","Home & Living",
"ich huyết khang","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"ich huyết khang","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"không che","Máy ảnh - Máy quay phim","Health & Beauty",,
"mẫu thiệp cưới","Nhà Cửa & Đời Sống","Books","Books",
"ao thun ca sau","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"quạt treo tường asia","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"namanmarket","Bách Hoá Online","Grocery","Grocery",
"bột trét tường việt mỹ","Bách Hoá Online",,"Home & Living",
"được","Nhà Sách Online","Home & Living","Fashion Accessories",
"bia blanc 1664","Bách Hóa Online","Grocery",,
"bia blanc 1664","Bách Hóa Online","Grocery",,
"nxb kim dong","Nhà Sách Online","Books",,
"nxb kim dong","Nhà Sách Online","Books",,
"nxb kim dong","Nhà Sách Online","Books",,
"nxb kim dong","Nhà Sách Online","Books",,
"đồ chơi con mực","Đồ Chơi","Toys",,"Toys"
"đồ chơi con mực","Mẹ & Bé","Toys",,"Toys"
"ba lô học sinh cấp 3","Túi Ví","Bags","Bags",
"nhót","Bách Hoá Online","Home & Living","Others",
"quần tất","Thời Trang Nữ","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"đèn màn hình","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"jujutsu kaisen manga","Nhà Sách Online","Men Clothes",,
"tui laptop","Túi Ví","Bags","Computer & Laptop",
"thuốc tăng vòng 1","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"sữa pediasure úc","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"lưới nhựa","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Pet Supplies"
"cosplay miku","Thời Trang Nữ","Fashion Accessories","Women Clothes",
"bao cao su có gai","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"màu tóc nam","Sức Khỏe & Sắc Đẹp","Fashion Accessories","Health & Beauty",
"giảm cân slim be","Thời Trang Nữ","Health & Beauty","Health & Beauty","Health & Beauty"
"ghế camping","Thể Thao & Du Lịch","Sports & Outdoors","Home & Living",
"ghế camping","Thể Thao & Du Lịch","Sports & Outdoors","Home & Living",
"lily bell","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"logitech g304","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"áo local","Thời Trang Nữ","Men Clothes","Men Clothes",
"men vi sinh biogaia","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"quốc gia khởi nghiệp","Nhà Sách Online","Books","Books","Books"
"thuốc boca","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"sữa kid essentials","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"tấm chắn giọt bắn","Nhà Cửa & Đời Sống","Home & Living","Health & Beauty",
"mũ bảo hiểm đẹp","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"tomtoc","Túi Ví","Computer & Laptop","Computer & Laptop",
"micro livestream","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"clarin","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"calligraphy","Nhà Sách Online","Books","Books","Books"
"dầu nóng hàn quốc","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"áo louis vuitton","Thời Trang Nữ","Men Clothes","Men Clothes","Women Clothes"
"gương tròn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"kem trị sẹo","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"toshiba","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"sạc dự phòng 30000mah","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"sạc dự phòng 30000mah","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"dây guitar classic","Nhà Sách Online","Books",,
"penthouses","Thời Trang Nữ","Women Clothes","Women Clothes",
"mì tiến vua","Bách Hoá Online","Grocery","Grocery",
"máy tính cũ","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"bên bờ biển","Nhà Sách Online","Books",,
"sociolla","Sức Khỏe & Sắc Đẹp",,"Home & Living",
"sociolla","Sức Khỏe & Sắc Đẹp",,"Home & Living",
"thăng long mềm","Others",,"Sports & Outdoors",
"xe địa hình điều khiển từ xa","Đồ Chơi","Toys","Toys","Toys"
"xe địa hình điều khiển từ xa","Đồ Chơi","Toys","Toys","Toys"
"giầy nike nữ","Giày Dép Nữ","Women Shoes","Women Shoes",
"yêu những điều không hoàn hảo","Nhà Sách Online","Books","Books",
"tóc layer","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories",
"duỗi tóc","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"cám gà","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"máy xay hattiecs","Mẹ & Bé","Home Appliances","Home & Living","Home & Living"
"mũ dsquared2","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"sạc dự phòng anker","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"bao tay tập gym","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"chiếu trúc tăm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"chiếu trúc tăm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"jbl t110","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"bim bim phô mai","Bách Hoá Online","Grocery","Grocery",
"canxinano","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"bao cao su gai bi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"xe cứu hỏa đồ chơi","Mẹ & Bé","Toys","Toys",
"thanh lăn mụn đầu đen","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"collagen trắng da","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"collagen trắng da","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"máy tăm nước cầm tay","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"dây mạng cat 6","Máy tính & Laptop","Computer & Laptop",,
"hảibo","Bách Hoá Online","Grocery","Moms, Kids & Babies",
"nail đẹp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"iruma giá đáo","Nhà Sách Online","Books","Books","Books"
"máy làm lại cuộc đời","Thiết Bị Điện Gia Dụng","Health & Beauty","Health & Beauty",
"shoppi","Túi Ví","Women Clothes",,
"chobaoho","Others","Sports & Outdoors",,
"chobaoho","Others","Sports & Outdoors",,
"samba adidas","Giày Dép Nam","Men Shoes","Men Shoes",
"phim set nhat","Others","Books","Toys",
"phim set nhat","Others","Books","Toys",
"đls","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"ipad air 2019","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"thần chết","Thời Trang Trẻ Em","Fashion Accessories",,
"nước hoa louis vuitton","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"giày biti's","Giày Dép Nam","Men Shoes","Men Shoes",
"giày biti's","Giày Dép Nam","Men Shoes","Men Shoes",
"giày biti's","Giày Dép Nam","Men Shoes","Men Shoes",
"bàn xếp","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"bàn xếp","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"máy rung","Ô tô - xe máy - xe đạp","Health & Beauty","Health & Beauty",
"anessa","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"trần nhựa nano","Nhà Cửa & Đời Sống",,"Home & Living",
"yamato one piece","Nhà Sách Online","Toys","Toys",
"bàn phím công thái học","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"man hinh may tinh cu","Thiết Bị Điện Tử","Computer & Laptop",,
"vali 24 inch","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"hắc sâm hàn quốc","Sức Khỏe & Sắc Đẹp","Grocery","Grocery",
"mũ bảo hiểm grs","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"badhabit","Thời Trang Nữ","Men Clothes","Women Clothes",
"toshiko","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"quần jean nam giá rẻ","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"bài tứ sắc","Đồ Chơi","Toys","Toys",
"bình sữa hegen","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"thùng carton chuyển nhà","Nhà Sách Online","Home & Living","Home & Living","Home & Living"
"vivo y21s","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"giấy dán nền nhà","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"tờ 500","Nhà Sách Online","Health & Beauty",,
"quạt asia","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"đồng hồ nam đẹp","Đồng Hồ","Watches","Watches","Watches"
"skarfix tx","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"camera giám sát","Máy ảnh - Máy quay phim","Cameras","Cameras","Cameras"
"kem chống nắng suncream","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"ghé tình yêu","Nhà Cửa & Đời Sống",,"Home & Living",
"anh 8","Nhà Sách Online","Home & Living","Books",
"hamutogi","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"mua bếp từ","Thiết Bị Điện Gia Dụng","Home Appliances",,
"mua bếp từ","Thiết Bị Điện Gia Dụng","Home Appliances",,
"gadacal","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"máy đo sp02","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"máy khử độc thực phẩm","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"nanh heo rừng","Phụ Kiện Thời Trang","Men Clothes","Men Clothes",
"tt8","Others",,"Mobile & Accessories",
"cách chơi among us","Others","Women Clothes","Women Clothes",
"nước súc miệng asin","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"nước súc miệng asin","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"nami hentai","Others",,"Toys",
"nami hentai","Others",,"Toys",
"tập bản đồ 9","Nhà Sách Online","Toys",,"Books"
"bánh trung thu lava","Bách Hóa Online","Grocery","Grocery",
"cây gió bầu","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"lõi chăn everon","Nhà Cửa & Đời Sống","Home & Living",,
"vinfast xe điện","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"thung bia tiger","Nhà Cửa & Đời Sống","Grocery",,
"thung bia tiger","Giày Dép Nữ","Grocery",,
"ly collins","Nhà Cửa & Đời Sống",,"Women Clothes",
"mody","Mẹ & Bé","Toys",,
"mody","Mẹ & Bé","Toys",,
"tối cổ","Others","Fashion Accessories","Home & Living",
"chúc mừng sinh nhật mẹ","Nhà Cửa & Đời Sống","Home & Living","Books",
"gai to","Thể Thao & Du Lịch","Books",,
"ngực đẹp","Others",,"Health & Beauty",
"phiếu bé hư","Nhà Sách Online",,"Books",
"wax lồn","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"vision 2022","Ô tô - xe máy - xe đạp",,"Automotive",
"vision 2022","Ô tô - xe máy - xe đạp",,"Automotive",
"vision 2022","Ô tô - xe máy - xe đạp",,"Automotive",
"vision 2022","Ô tô - xe máy - xe đạp",,"Automotive",
"vovid","Others",,"Health & Beauty",
"vovid","Others",,"Health & Beauty",
"yomost","Bách Hoá Online","Grocery","Grocery",
"dầu thơm","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"acnes serum","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"douma","Others","Men Clothes","Toys",
"ao thun nam dep","Thời Trang Nam","Men Clothes","Men Clothes",
"thuốc diệt ruồi","Giặt giũ & Chăm sóc nhà cửa","Home care","Home care",
"ốp pô ex 150","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"viên uống dhc","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"cục phát wifi di dong","Điện Thoại & Phụ Kiện","Computer & Laptop","Computer & Laptop",
"biotrade","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"berberin","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"redmi note 7","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"sữa infatrini","Bách Hóa Online","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"cốc giữ nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"pin cmos","Thiết Bị Điện Gia Dụng","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"màu tóc nâu trà sữa","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"màu tóc nâu trà sữa","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"cạp lồng","Nhà Cửa & Đời Sống","Home & Living","Home Appliances",
"gỗ thông tấm","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"haikyuu manga","Nhà Sách Online",,"Men Clothes",
"bộ xếp hình lego","Đồ Chơi","Toys","Toys",
"dầu gió singapore","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"osho","Nhà Sách Online","Books","Books","Books"
"sữa xương khớp","Bách Hóa Online","Health & Beauty","Moms, Kids & Babies",
"sữa tắm cho chó","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"đồng hồ hublot nữ","Đồng Hồ","Watches","Watches","Watches"
"mi box","Thiết Bị Điện Gia Dụng","Consumer Electronics","Consumer Electronics",
"mi box","Thiết Bị Điện Gia Dụng","Consumer Electronics","Consumer Electronics",
"kẹo mắt","Bách Hoá Online","Grocery","Grocery",
"gopro hero 5","Máy ảnh - Máy quay phim","Cameras","Cameras","Watches"
"sexy girl","Others",,"Women Clothes",
"diều cá mập","Đồ Chơi","Toys","Toys","Toys"
"diều cá mập","Đồ Chơi","Toys","Toys","Toys"
"gắp jupiter","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"kuaishou","Others","Fashion Accessories","Fashion Accessories",
"moana","Thời Trang Trẻ Em","Toys","Toys",
"áo teelab","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"bột quế","Bách Hóa Online","Grocery","Grocery","Grocery"
"thang nhôm chữ a","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"rienevan","Giày Dép Nam","Men Shoes","Men Shoes",
"8y","Thời Trang Trẻ Em",,"Kid's Fashion",
"nghệ thuật tinh tế của việc đếch quan tâm","Nhà Sách Online","Books","Books","Books"
"từ điển tiếng việt hoàng phê","Nhà Sách Online","Books","Books","Books"
"revital","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"màu nhuộm đẹp","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"định vị bách khoa","Điện Thoại & Phụ Kiện","Automotive","Automotive",
"định vị bách khoa","Điện Thoại & Phụ Kiện","Automotive","Automotive",
"pillows","Bách Hóa Online","Grocery","Grocery",
"highschool dxd","Sức Khỏe & Sắc Đẹp","Mobile & Accessories","Books",
"bao cao su olo","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"fendona 10sc","Nhà Cửa & Đời Sống","Home care","Home care",
"maichibui","Others","Women Clothes","Kid's Fashion",
"bộ cờ vua cao cấp","Nhà Sách Online","Toys","Toys",
"sinh 9","Nhà Sách Online","Books",,
"điện thoại mini cảm ứng","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"dầu tẩy trang","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bánh sinh nhật hàn quốc","Bách Hoá Online","Home & Living",,
"muôn kiếp nhân sinh","Nhà Sách Online","Books","Books","Books"
"bom sister","Thời Trang Nữ","Women Clothes","Women Clothes",
"gundam unicorn","Đồ Chơi","Toys","Toys",
"yakumi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"tô tượng minion","Mẹ & Bé","Toys","Toys",
"ăn gì hôm nay","Others","Books",,
"mặc bảo phi bảo","Nhà Sách Online","Books",,
"tương ớt chin su","Bách Hoá Online","Grocery",,
"tương ớt chin su","Bách Hoá Online","Grocery",,
"u2417h","Thiết Bị Điện Tử","Computer & Laptop",,
"tủ quần áo tre em","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"tủ quần áo tre em","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"màn hình samsung a12","Điện Thoại & Phụ Kiện","Mobile & Accessories",,
"màn hình samsung a12","Điện Thoại & Phụ Kiện","Mobile & Accessories",,
"ao kaki","Thời Trang Nam",,"Women Clothes",
"tấm chống nóng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"kem a313","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"truyện hay","Nhà Sách Online","Books",,
"dầu gội colagen","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"dầu gội colagen","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"junierpenshop","Đồ Chơi","Home & Living",,
"junierpenshop","Đồ Chơi","Home & Living",,
"enfamil a2","Mẹ & Bé","Moms, Kids & Babies",,
"dr skinacne","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"pes 2022","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"bà nà hill","Others","Home & Living","Voucher & Service",
"znew","Phụ Kiện Thời Trang","Health & Beauty",,
"cau keo","Others","Automotive",,
"evisu áo","Thời Trang Nam","Men Clothes","Men Clothes",
"evisu áo","Thời Trang Nam","Men Clothes","Men Clothes",
"buttplug","Sức Khỏe & Sắc Đẹp","Home & Living","Mobile & Accessories",
"pin may khoan","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"destination c1 c2","Nhà Sách Online","Books","Books","Books"
"malizia","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"kokomi","Bách Hoá Online","Grocery","Grocery","Grocery"
"dèn laser","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"dèn laser","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"dèn laser","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"hai đứa trẻ","Nhà Sách Online","Books","Books",
"bút mực xoá được","Nhà Sách Online","Books","Books","Books"
"máy ảnh hoàng tô","Máy ảnh - Máy quay phim","Home & Living","Cameras",
"calvin klein vietnam","Thời Trang Nữ",,"Women Clothes",
"nail đen đính đá","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"kilian rắn đen","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"charizard gigantamax","Nhà Sách Online","Toys","Toys",
"healer báo thù","Nhà Sách Online",,"Men Clothes",
"vn69","Túi Ví",,"Men Clothes",
"pin laptop hp","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop",
"new image","Bách Hoá Online","Health & Beauty",,
"the ordinary vietnam","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"sữa meiji 0-1","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"vs168","Túi Ví","Women Clothes",,
"never let me go","Phụ Kiện Thời Trang",,"Books",
"nước chấm thịt nướng","Bách Hóa Online","Grocery","Grocery","Grocery"
"mai giảo thủ đức","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"mai giảo thủ đức","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"trần thiên trong lời đồn","Others","-","-",
"trần thiên trong lời đồn","Others","-","-",
"túi niêm phong gói hàng giá rẻ","Nhà Cửa & Đời Sống",,"Home & Living",
"xxc","Others","Automotive",,
"damos","Sức Khỏe & Sắc Đẹp","Sports & Outdoors",,
"xem ti vi","Thiết Bị Điện Gia Dụng","Fashion Accessories",,
"normovein","Mẹ & Bé","Health & Beauty","Health & Beauty","Health & Beauty"
"veb","Điện Thoại & Phụ Kiện","Bags","Men Shoes",
"cái nạo lưỡi","Sức Khỏe & Sắc Đẹp",,"Home & Living",
"kịch trường của takemichi","Đồ Chơi","Books","Books",
"z flip 5","Điện Thoại & Phụ Kiện",,"Mobile & Accessories",
"vietvui","Others","Moms, Kids & Babies",,
"cha li","Thiết Bị Điện Gia Dụng",,"Health & Beauty",
"xe đạp trẻ em 8-12 tuổi","Thể Thao & Du Lịch","Automotive","Automotive",
"cap chất","Phụ Kiện Thời Trang",,"Health & Beauty",
"solo leveling truyện","Nhà Sách Online","Books",,
"đăng ký 4g viettel","Điện Thoại & Phụ Kiện",,"Mobile & Accessories",
"balance","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"son dưỡng bioderma","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kem nẻ pháp","Mẹ & Bé","Health & Beauty","Health & Beauty","Health & Beauty"
"pumi","Thời Trang Nữ","Women Clothes","Women Clothes",
"đầm cao cấp","Thời Trang Nữ","Women Clothes","Women Clothes",
"váy bầu công sở","Thời Trang Nữ","Women Clothes","Women Clothes",
"máy ép chậm snapbee","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"manup","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"grammar in use","Nhà Sách Online","Books","Books","Books"
"thảm sofa","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"charizard vmax","Nhà Sách Online","Toys","Toys",
"mắt kính cận","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"kem kone chính hãng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"meo nấm rơm","Bách Hóa Online","Home & Living","Home & Living","Home & Living"
"nền chụp ảnh","Máy ảnh - Máy quay phim","Home & Living","Home & Living","Home & Living"
"bảng tuần hoàn hoá học","Nhà Sách Online","Books","Books","Books"
"kệ v lỗ","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"như ý truyện","Others","Books","Women Clothes",
"6300 nokia","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"tamburins","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"chân váy chữ a hàn quốc","Thời Trang Nữ","Women Clothes","Women Clothes",
"hạt giống hoa mười giờ","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"blr a12","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"bama.bag","Túi Ví","Bags","Bags",
"thạch nghệ","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"menatplay","Others",,"Fashion Accessories",
"kiếm tiền online","Nhà Sách Online","Books","Books",
"chuyến tàu sinh tử","Nhà Cửa & Đời Sống","Books",,"Books"
"măm k7","Ô tô - xe máy - xe đạp",,"Automotive",
"pomade","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"yêu em từ cái nhìn đầu tiên","Nhà Sách Online","Books","Books",
"khay xốp m16","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"minhrc","Others",,"Toys",
"mozaro","Thiết Bị Điện Tử",,"Consumer Electronics",
"cambridge vocabulary for ielts","Nhà Sách Online","Books",,
"tokyo hot","Bách Hoá Online","Men Clothes",,
"mi band 7","Thiết Bị Điện Tử","Mobile & Accessories",,
"neyma","Túi Ví","Books","Books",
"neyma","Túi Ví","Books","Books",
"bổ hoàng dương","Sức Khỏe & Sắc Đẹp",,"Health & Beauty",
"giá bia larue","Bách Hóa Online",,"Grocery",
"giá bia larue","Bách Hóa Online",,"Grocery",
"son kiko","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"innisfree kem chông nắng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"nami bikini","Nhà Cửa & Đời Sống","Toys",,
"ukulele tuner","Nhà Sách Online","Books",,
"ôppo f3","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"áo dài trắng đẹp","Thời Trang Nữ","Women Clothes","Women Clothes",
"hoàn dược vương","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"tý phước","Nhà Sách Online","Mobile & Accessories","Toys",
"yosuga no sora","Others","Toys","Books",
"giấy giới thiệu","Nhà Sách Online","Books","Books",
"màn hình s20 plus","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"grass","Ô tô - xe máy - xe đạp","Home & Living",,
"kẹo bj","Sức Khỏe & Sắc Đẹp","Grocery","Grocery",
"mực in mã vạch","Máy tính & Laptop","Computer & Laptop","Computer & Laptop","Books"
"tsubomi","Nhà Sách Online",,"Women Clothes",
"bông tai vàng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories",
"bông tai vàng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories",
"bông tai vàng","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories",
"máy ép chậm philips","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"xe cooter điện","Mẹ & Bé","Automotive",,
